iter	Passed	Remaining
0	150	150226
1	152	76140
2	154	51416
3	156	38999
4	159	31663
5	161	26834
6	163	23232
7	167	20728
8	169	18683
9	170	16905
10	173	15616
11	175	14474
12	177	13454
13	178	12582
14	180	11856
15	181	11177
16	183	10611
17	184	10084
18	188	9715
19	190	9335
20	192	8961
21	193	8618
22	195	8303
23	196	8002
24	198	7724
25	199	7474
26	201	7276
27	203	7056
28	205	6873
29	206	6673
30	208	6503
31	210	6359
32	211	6191
33	212	6033
34	213	5888
35	215	5769
36	217	5654
37	218	5537
38	219	5420
39	221	5308
40	222	5201
41	223	5105
42	225	5009
43	226	4911
44	227	4824
45	228	4740
46	229	4660
47	231	4586
48	232	4511
49	233	4436
50	234	4363
51	235	4293
52	236	4224
53	237	4160
54	238	4100
55	239	4039
56	240	3980
57	241	3923
58	242	3866
59	243	3813
60	244	3765
61	245	3716
62	246	3668
63	247	3621
64	248	3578
65	249	3534
66	250	3489
67	251	3446
68	252	3409
69	253	3371
70	254	3332
71	255	3297
72	256	3261
73	257	3226
74	259	3196
75	260	3165
76	261	3133
77	262	3102
78	263	3072
79	264	3044
80	265	3014
81	266	2984
82	267	2956
83	268	2930
84	270	2907
85	271	2881
86	272	2854
87	272	2827
88	273	2802
89	275	2780
90	277	2771
91	278	2748
92	279	2726
93	280	2702
94	281	2679
95	282	2656
96	283	2642
97	285	2623
98	285	2602
99	286	2582
100	287	2561
101	288	2543
102	289	2525
103	291	2507
104	292	2491
105	293	2473
106	294	2456
107	295	2442
108	297	2429
109	298	2416
110	299	2402
111	301	2387
112	302	2374
113	303	2359
114	304	2345
115	305	2329
116	306	2314
117	307	2298
118	308	2284
119	309	2270
120	310	2255
121	311	2241
122	312	2226
123	313	2214
124	314	2202
125	315	2189
126	316	2176
127	317	2163
128	318	2150
129	319	2138
130	320	2126
131	321	2117
132	323	2106
133	324	2094
134	325	2082
135	325	2070
136	326	2058
137	328	2048
138	329	2039
139	330	2028
140	331	2017
141	331	2003
142	332	1992
143	333	1984
144	334	1974
145	336	1965
146	337	1956
147	338	1946
148	339	1936
149	340	1927
150	341	1921
151	342	1911
152	344	1904
153	344	1894
154	345	1885
155	346	1874
156	347	1865
157	348	1857
158	349	1850
159	350	1842
160	351	1834
161	353	1826
162	354	1818
163	355	1810
164	356	1803
165	357	1795
166	358	1788
167	359	1781
168	360	1771
169	361	1763
170	362	1755
171	363	1748
172	364	1743
173	365	1736
174	366	1729
175	367	1722
176	368	1714
177	369	1705
178	369	1695
179	370	1689
180	372	1683
181	372	1674
182	373	1665
183	373	1658
184	374	1651
185	376	1645
186	376	1637
187	377	1629
188	378	1622
189	379	1617
190	380	1611
191	381	1605
192	382	1600
193	383	1594
194	384	1588
195	385	1581
196	386	1575
197	387	1569
198	388	1563
199	389	1556
200	389	1548
201	390	1541
202	390	1534
203	391	1526
204	391	1519
205	393	1514
206	393	1507
207	394	1500
208	394	1494
209	395	1489
210	396	1482
211	397	1476
212	398	1470
213	399	1465
214	399	1458
215	399	1451
216	400	1445
217	401	1439
218	402	1434
219	402	1428
220	403	1421
221	403	1415
222	404	1408
223	404	1401
224	405	1395
225	405	1388
226	406	1383
227	407	1378
228	407	1371
229	408	1366
230	408	1360
231	409	1354
232	410	1349
233	411	1345
234	412	1341
235	412	1336
236	413	1332
237	414	1325
238	414	1319
239	415	1316
240	416	1312
241	417	1307
242	417	1301
243	418	1296
244	418	1290
245	419	1285
246	420	1281
247	421	1277
248	421	1271
249	423	1269
250	423	1263
251	424	1258
252	424	1253
253	425	1250
254	426	1246
255	426	1240
256	427	1236
257	428	1232
258	429	1228
259	430	1225
260	431	1222
261	432	1218
262	433	1214
263	434	1210
264	435	1206
265	435	1202
266	436	1199
267	438	1197
268	439	1194
269	440	1191
270	441	1187
271	442	1184
272	443	1180
273	444	1177
274	445	1173
275	446	1170
276	447	1167
277	448	1163
278	448	1160
279	449	1156
280	450	1152
281	451	1148
282	451	1144
283	453	1142
284	454	1139
285	454	1135
286	456	1133
287	456	1129
288	457	1125
289	458	1122
290	459	1119
291	460	1116
292	461	1114
293	462	1110
294	463	1107
295	463	1103
296	464	1099
297	465	1096
298	466	1093
299	467	1091
300	468	1088
301	469	1084
302	470	1081
303	470	1077
304	471	1074
305	472	1071
306	473	1068
307	474	1065
308	475	1062
309	476	1060
310	477	1057
311	478	1054
312	479	1051
313	479	1048
314	480	1045
315	481	1041
316	482	1039
317	483	1036
318	484	1034
319	485	1031
320	486	1029
321	487	1026
322	488	1023
323	489	1020
324	490	1018
325	491	1015
326	492	1013
327	493	1010
328	493	1007
329	494	1004
330	495	1002
331	497	1000
332	498	997
333	499	995
334	499	992
335	501	990
336	502	987
337	503	985
338	504	983
339	505	981
340	506	979
341	507	977
342	509	974
343	510	972
344	511	970
345	512	969
